date,cases,re,vaccinated,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,regimes
2020-03-13,36,2.98,0,-3,41,-7,-16,-4,3,0
2020-03-14,32,2.75,0,-10,26,5,-17,0,3,0
2020-03-15,36,2.61,0,-10,14,44,-22,-6,4,0
2020-03-16,53,2.42,0,-12,27,10,-39,-31,11,0
2020-03-17,59,2.3,0,-29,15,2,-46,-39,15,0
2020-03-18,59,2.0,0,-36,1,1,-51,-44,17,0
2020-03-19,69,1.9,0,-38,2,11,-54,-47,19,0
2020-03-20,99,1.89,0,-45,-8,-15,-56,-49,21,0
2020-03-21,72,1.81,0,-48,-12,16,-49,-34,13,0
2020-03-22,87,1.76,0,-51,-22,6,-55,-38,12,0
2020-03-23,144,1.68,0,-47,-13,-39,-66,-55,22,0
2020-03-24,174,1.54,0,-48,-12,-6,-64,-57,22,0
2020-03-25,138,1.52,0,-54,-23,5,-67,-61,25,0
2020-03-26,250,1.54,0,-55,-22,-10,-68,-61,26,0
2020-03-27,297,1.51,0,-54,-21,10,-67,-61,26,0
2020-03-28,235,1.53,0,-60,-29,-31,-65,-46,16,0
2020-03-29,227,1.47,0,-59,-33,-14,-66,-46,14,0
2020-03-30,439,1.45,0,-55,-27,-34,-71,-63,25,0
2020-03-31,412,1.39,0,-51,-17,-27,-69,-62,24,0
2020-04-01,454,1.36,0,-51,-21,1,-69,-63,25,0
2020-04-02,450,1.35,0,-51,-20,3,-69,-63,26,0
2020-04-03,465,1.32,0,-55,-22,-28,-70,-62,27,0
2020-04-04,349,1.25,0,-57,-27,-18,-63,-46,16,0
2020-04-05,371,1.21,0,-60,-32,-11,-67,-47,14,0
2020-04-06,479,1.16,0,-55,-23,-5,-70,-63,24,0
2020-04-07,458,1.16,0,-55,-18,-21,-69,-63,25,0
2020-04-08,493,1.17,0,-52,-14,-10,-69,-64,25,0
2020-04-09,489,1.13,0,-44,7,-31,-68,-64,25,0
2020-04-10,399,1.11,0,-82,-67,-38,-81,-86,36,0
2020-04-11,477,1.14,0,-54,-9,-20,-62,-48,16,0
2020-04-12,549,1.14,0,-80,-68,-20,-70,-55,15,0
2020-04-13,602,1.15,0,-58,-25,-47,-75,-69,27,0
2020-04-14,558,1.18,0,-52,-14,-31,-70,-63,25,0
2020-04-15,619,1.16,0,-53,-20,-37,-70,-63,26,0
2020-04-16,581,1.11,0,-54,-19,-32,-70,-63,27,0
2020-04-17,752,1.1,0,-56,-23,-33,-69,-62,28,0
2020-04-18,601,1.08,0,-58,-27,-11,-58,-43,15,0
2020-04-19,594,1.03,0,-61,-36,-36,-66,-44,14,0
2020-04-20,614,0.98,0,-53,-23,-5,-68,-62,24,0
2020-04-21,522,0.92,0,-56,-26,-44,-70,-62,25,0
2020-04-22,548,0.89,0,-54,-22,-27,-69,-62,25,0
2020-04-23,511,0.89,0,-54,-21,-25,-68,-62,26,0
2020-04-24,433,0.85,0,-56,-25,-19,-67,-61,26,0
2020-04-25,428,0.81,0,-56,-25,22,-54,-41,14,0
2020-04-26,367,0.84,0,-59,-32,-36,-65,-43,14,0
2020-04-27,480,0.87,0,-51,-20,19,-65,-60,23,0
2020-04-28,417,0.87,0,-51,-18,-3,-65,-61,18,0
2020-04-29,407,0.86,0,-53,-23,-31,-68,-61,25,0
2020-04-30,409,0.89,0,-51,-18,-24,-67,-61,26,0
2020-05-01,488,0.91,0,-51,-18,10,-63,-59,25,0
2020-05-02,333,0.94,0,-54,-23,1,-54,-39,14,0
2020-05-03,341,0.92,0,-49,-21,62,-52,-36,11,0
2020-05-04,333,0.9,0,-49,-18,-3,-66,-59,23,0
2020-05-05,409,0.91,0,-48,-14,4,-64,-59,23,0
2020-05-06,356,0.92,0,-47,-15,16,-63,-59,23,0
2020-05-07,306,0.9,0,-49,-14,-1,-65,-59,24,0
2020-05-08,298,0.89,0,-51,-16,-21,-65,-58,25,0
2020-05-09,310,0.89,0,-50,-14,-32,-59,-36,14,0
2020-05-10,294,0.9,0,-43,-16,-10,-57,-32,11,0
2020-05-11,216,0.95,0,-49,-22,-16,-66,-58,23,0
2020-05-12,258,0.95,0,-46,-14,0,-63,-56,22,0
2020-05-13,362,0.99,0,-42,-12,35,-60,-56,22,0
2020-05-14,342,1.02,0,-45,-15,-12,-64,-57,24,0
2020-05-15,380,1.03,0,-46,-15,-4,-63,-57,24,0
2020-05-16,371,1.04,0,-43,-14,92,-46,-33,10,0
2020-05-17,421,1.06,0,-40,-14,33,-56,-32,10,0
2020-05-18,376,1.08,0,-68,-56,-6,-78,-83,30,0
2020-05-19,327,1.09,0,-36,0,24,-59,-54,20,0
2020-05-20,388,1.02,0,-33,0,68,-56,-54,20,0
2020-05-21,338,0.98,0,-33,-2,80,-56,-54,20,0
2020-05-22,400,0.98,0,-38,-8,68,-56,-52,20,0
2020-05-23,367,0.94,0,-37,-9,114,-42,-25,9,0
2020-05-24,340,0.9,0,-34,-14,100,-46,-25,8,0
2020-05-25,399,0.87,0,-33,-7,71,-57,-54,19,0
2020-05-26,273,0.89,0,-33,-5,60,-56,-51,18,0
2020-05-27,322,0.98,0,-32,-5,60,-56,-52,19,0
2020-05-28,325,1.02,0,-36,-9,13,-58,-52,21,0
2020-05-29,606,1.01,0,-38,-10,17,-57,-50,21,0
2020-05-30,346,1.02,0,-36,-9,67,-41,-16,9,0
2020-05-31,412,1.05,0,-32,-12,84,-44,-15,7,0
2020-06-01,397,1.0,0,-31,-6,79,-54,-49,17,0
2020-06-02,366,0.94,0,-34,-6,51,-55,-49,18,0
2020-06-03,348,0.86,0,-33,-6,58,-55,-49,19,0
2020-06-04,279,0.84,0,-31,-3,96,-53,-49,18,0
2020-06-05,278,0.81,0,-35,-9,71,-55,-48,18,0
2020-06-06,222,0.78,0,-33,-7,131,-40,-15,8,0
2020-06-07,207,0.73,0,-28,-10,143,-43,-14,6,0
2020-06-08,214,0.77,0,-29,-6,98,-54,-48,16,0
2020-06-09,216,0.77,0,-31,-5,88,-54,-47,17,0
2020-06-10,237,0.79,0,-30,-6,45,-56,-48,18,0
2020-06-11,187,0.8,0,-28,-2,91,-52,-47,18,0
2020-06-12,240,0.82,0,-31,-6,88,-52,-46,17,0
2020-06-13,171,0.86,0,-29,-6,139,-36,-9,7,0
2020-06-14,143,0.89,0,-25,-9,153,-40,-9,5,0
2020-06-15,177,0.9,0,-26,-4,108,-52,-47,16,0
2020-06-16,174,0.92,0,-26,0,112,-51,-46,15,0
2020-06-17,191,0.98,0,-26,-2,110,-51,-46,16,0
2020-06-18,198,0.97,0,-25,2,121,-50,-46,16,0
2020-06-19,189,0.97,0,-27,-1,117,-49,-45,14,0
2020-06-20,154,0.94,0,-27,1,166,-34,-7,4,0
2020-06-21,174,0.91,0,-24,-6,141,-40,-4,3,0
2020-06-22,202,0.93,0,-27,-6,86,-52,-48,15,0
2020-06-23,152,1.05,0,-28,-4,48,-53,-48,16,0
2020-06-24,164,1.02,0,-23,0,85,-49,-46,16,0
2020-06-25,146,1.01,0,-22,2,120,-47,-45,15,0
2020-06-26,182,0.98,0,-26,-2,137,-46,-44,14,0
2020-06-27,231,0.99,0,-27,-4,140,-32,-9,5,0
2020-06-28,205,0.96,0,-22,-7,194,-33,-3,3,0
2020-06-29,131,0.94,0,-18,3,140,-50,-47,13,0
2020-06-30,176,0.81,0,-7,29,145,-46,-45,11,0
2020-07-01,150,0.77,0,-47,-39,276,-59,-71,18,0
2020-07-02,142,0.79,0,-16,11,136,-49,-49,14,0
2020-07-03,152,0.87,0,-22,4,157,-49,-51,15,0
2020-07-04,129,0.87,0,-25,-3,203,-34,-9,4,0
2020-07-05,92,0.92,0,-20,-7,184,-36,-8,2,0
2020-07-06,105,0.93,0,-19,2,135,-50,-47,14,0
2020-07-07,139,0.93,0,-20,3,120,-49,-46,14,0
2020-07-08,142,0.97,0,-20,1,106,-50,-46,14,0
2020-07-09,136,0.97,0,-20,4,121,-49,-45,14,0
2020-07-10,124,0.91,0,-25,-2,108,-49,-45,14,0
2020-07-11,128,0.92,0,-26,-3,88,-38,-9,6,1
2020-07-12,113,0.96,0,-18,-5,180,-35,-6,3,1
2020-07-13,98,1.02,0,-19,-1,126,-50,-46,13,1
2020-07-14,105,1.03,0,-19,2,142,-49,-45,13,1
2020-07-15,133,1.12,0,-18,1,133,-50,-45,13,1
2020-07-16,142,1.19,0,-21,2,69,-51,-45,15,1
2020-07-17,165,1.15,0,-21,0,162,-47,-43,12,1
2020-07-18,175,1.2,0,-22,-2,210,-32,-6,3,1
2020-07-19,122,1.12,0,-23,-9,111,-40,-10,4,1
2020-07-20,178,1.06,0,-17,3,154,-49,-46,12,1
2020-07-21,118,1.03,0,-18,3,145,-49,-45,13,1
2020-07-22,123,0.94,0,-21,-2,68,-52,-45,15,1
2020-07-23,195,0.86,0,-18,4,148,-48,-44,13,1
2020-07-24,139,0.86,0,-22,-1,165,-47,-43,12,1
2020-07-25,118,0.82,0,-22,-3,220,-31,-5,2,1
2020-07-26,125,0.83,0,-17,-6,191,-35,-6,2,1
2020-07-27,122,0.85,0,-20,-1,109,-51,-47,13,1
2020-07-28,122,0.85,0,-18,4,147,-49,-45,12,1
2020-07-29,100,0.84,0,-16,2,125,-49,-45,13,1
2020-07-30,109,0.86,0,-14,7,155,-46,-45,12,1
2020-07-31,127,0.88,0,-17,4,180,-43,-45,10,1
2020-08-01,103,0.86,0,-21,-3,229,-28,-9,1,1
2020-08-02,57,0.84,0,-18,-6,86,-40,-14,4,1
2020-08-03,97,0.81,0,-30,-23,178,-61,-74,18,1
2020-08-04,87,0.87,0,-18,3,63,-50,-47,13,1
2020-08-05,81,0.9,0,-13,5,148,-47,-45,12,1
2020-08-06,97,0.93,0,-13,4,173,-46,-44,12,1
2020-08-07,81,0.94,0,-19,-3,169,-45,-43,11,1
2020-08-08,92,0.98,0,-18,-4,232,-28,-5,1,1
2020-08-09,90,1.03,0,-14,-7,180,-33,-6,1,1
2020-08-10,69,1.05,0,-16,-2,142,-50,-45,12,1
2020-08-11,88,1.02,0,-16,1,128,-49,-44,12,1
2020-08-12,96,1.07,0,-14,0,155,-48,-44,12,1
2020-08-13,90,1.07,0,-14,2,164,-47,-44,12,1
2020-08-14,91,1.06,0,-18,-2,165,-45,-43,10,1
2020-08-15,86,1.08,0,-18,-4,225,-28,-5,1,1
2020-08-16,100,1.06,0,-15,-7,127,-35,-8,2,1
2020-08-17,99,1.09,0,-18,-4,107,-50,-45,12,1
2020-08-18,104,1.09,0,-15,1,136,-48,-43,11,1
2020-08-19,103,1.04,0,-14,-1,140,-48,-43,12,1
2020-08-20,107,1.03,0,-13,3,149,-46,-43,11,1
2020-08-21,133,1.1,0,-18,-3,148,-45,-42,10,1
2020-08-22,82,1.1,0,-18,-4,210,-29,-4,1,1
2020-08-23,101,1.14,0,-13,-7,180,-32,-5,0,1
2020-08-24,118,1.11,0,-16,-3,134,-49,-44,11,1
2020-08-25,120,1.08,0,-15,2,141,-47,-43,11,1
2020-08-26,131,1.08,0,-16,-2,94,-48,-43,12,1
2020-08-27,150,1.1,0,-14,2,114,-46,-42,12,1
2020-08-28,121,1.07,0,-18,-3,122,-45,-41,11,1
2020-08-29,109,1.06,0,-17,-1,132,-30,-6,2,1
2020-08-30,121,1.09,0,-10,-4,193,-28,-4,0,1
